exp,n,ok_legacy,ok_strict,ok_audit,acc_legacy,acc_strict,fire_all_legacy,fire_all_strict,late_fp,late_fn,response_quality,n_burst,n_per_stim,max_spikes,mode_legacy,csv
SelectivityLtzCalibrate/AsymRmLtzCal/EXP_span50ms_packA_gen/Test,2,0,0,0,1,1,0,0,0,0,ok_single,0,0,0,silent,SelectivityLtzCalibrate/AsymRmLtzCal/EXP_span50ms_packA_gen/Test/SelectivityLog/results.csv
SelectivityLtzCalibrate/AsymRmLtzCal/EXP_span50ms_packA_preinh/Test,2,0,0,0,1,1,0,0,0,0,ok_single,0,0,0,silent,SelectivityLtzCalibrate/AsymRmLtzCal/EXP_span50ms_packA_preinh/Test/SelectivityLog/results.csv
SelectivityLtzCalibrate/AsymRmLtzCalBranch/EXP_branch_span100_packA_gen/Test,8,0,0,0,7,7,0,0,0,0,ok_single,0,0,0,silent,SelectivityLtzCalibrate/AsymRmLtzCalBranch/EXP_branch_span100_packA_gen/Test/SelectivityLog/results.csv
SelectivityLtzCalibrate/AsymRmLtzCalBranch/EXP_branch_span100_packA_preinh/Test,8,0,0,0,7,7,0,0,0,0,ok_single,0,0,0,silent,SelectivityLtzCalibrate/AsymRmLtzCalBranch/EXP_branch_span100_packA_preinh/Test/SelectivityLog/results.csv
SelectivityLtzCalibrate/AsymRmLtzCalBranch/EXP_branch_span25_packA_gen/Test,8,0,0,0,7,7,0,0,0,0,ok_single,0,0,0,silent,SelectivityLtzCalibrate/AsymRmLtzCalBranch/EXP_branch_span25_packA_gen/Test/SelectivityLog/results.csv
SelectivityLtzCalibrate/AsymRmLtzCalBranch/EXP_branch_span25_packA_preinh/Test,8,0,0,0,7,7,0,0,0,0,ok_single,0,0,0,silent,SelectivityLtzCalibrate/AsymRmLtzCalBranch/EXP_branch_span25_packA_preinh/Test/SelectivityLog/results.csv
SelectivityLtzCalibrate/AsymRmLtzCalBranch/EXP_branch_span50_packA_gen/Test,8,0,0,0,7,7,0,0,0,0,ok_single,0,0,0,silent,SelectivityLtzCalibrate/AsymRmLtzCalBranch/EXP_branch_span50_packA_gen/Test/SelectivityLog/results.csv
SelectivityLtzCalibrate/AsymRmLtzCalBranch/EXP_branch_span50_packA_preinh/Test,8,0,0,0,7,7,0,0,0,0,ok_single,0,0,0,silent,SelectivityLtzCalibrate/AsymRmLtzCalBranch/EXP_branch_span50_packA_preinh/Test/SelectivityLog/results.csv
SelectivityLtzCalibrate/BranchFastSpan/EXP_branch_span100_gen/Test,8,0,0,0,1,1,1,1,0,0,unknown,0,0,1,fire_all,SelectivityLtzCalibrate/BranchFastSpan/EXP_branch_span100_gen/Test/SelectivityLog/results.csv
SelectivityLtzCalibrate/BranchFastSpan/EXP_branch_span25_gen/Test,8,0,0,0,4,4,0,0,0,0,unknown,0,0,1,miss_target,SelectivityLtzCalibrate/BranchFastSpan/EXP_branch_span25_gen/Test/SelectivityLog/results.csv
